No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,47,2016-12-01,Train,Play That Song,Funk/Groove,,https://www.youtube.com/watch?v=J5qWnG5RQTk,Good,SAMPLING HEART AND SOUL,DennisL23,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,48,2016-12-01,Wild Cub,Thunder Clatter,Dance Rock,,https://www.youtube.com/watch?v=mp5YWm5VHwQ,Good,I TURNED AWAY ALL THE OTHERS,DennisL23,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,49,2016-11-29,4 Chords,The Axis Of Awesome,Classic/Hard Rock,,https://www.youtube.com/watch?v=oOlDewpCfZQ,Good,THE ONLY MUSIC VIDEO YOU NEED,ChicagoForever,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,50,2016-11-29,The Lonely Island,YOLO (feat. Adam Levine & Kendrick Lamar),Dance Rock,,https://www.youtube.com/watch?v=z5Otla5157c,Good,DON'T TRAVEL AT ALL,ChicagoForever,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,51,2016-12-01,Blink 182,She's Out Of Her Mind,Punk Rock,,https://www.youtube.com/watch?v=krpm0v_486k,Good,I LOST MY HEAD ON THE DOOR,ChicagoForever,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,52,2016-12-01,Ylvis,StoneHenge,Classic/Hard Rock,,https://www.youtube.com/watch?v=mbyzgeee2mg,Good,WHO THE **** BUILDS A STONEHENGE?,ChicagoForever,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,53,2016-12-01,Electric Six,DANGER! High Voltage,Dance Rock,,https://www.youtube.com/watch?v=2a4gyJsY0mc,Good,FIRE IN THE TACO BELL,ChicagoForever,,,,,,,,
9,2016-11-30,Dance Rock,Comedy Rock,54,2016-12-01,Saint Motel,Move,Dance Rock,,https://www.youtube.com/watch?v=U9DZkj8Rq6g,Good,THESE MIXED UP EMOTIONS,ChicagoForever,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,55,2016-11-29,Lilly Allen,Fuck You,Classic Pop,,https://www.youtube.com/watch?v=o8VZX4sHn-4,Good,NO ONE WANTS YOUR OPINION,A.Lancaster,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,56,2016-11-29,White Stripes,Seven Nation Army,Classic/Hard Rock,,https://www.youtube.com/watch?v=0J2QdDbelmY,Good,FAR FROM THIS OPERA FOREVERMORE,A.Lancaster,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,57,2016-11-30,CHVRCHES,Gun,Synth Pop,,https://www.youtube.com/watch?v=ktoaj1IpTbw,Good,I'M GONNA BREAK YOU DOWN,A.Lancaster,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,58,2016-11-30,Linkin Park,Crawling,Classic/Hard Rock,,https://www.youtube.com/watch?v=Gd9OhYroLN0,Good,THESE WOUNDS THEY WILL NOT HEAL,A.Lancaster,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,59,2016-12-01,Black Box Revolution,High On A Wire,Classic/Hard Rock,,https://www.youtube.com/watch?v=c1it6j-fyr4,Good,I CAN'T STOP THIS TIME,A.Lancaster,,,,,,,,
10,2016-11-29,Classic/Hard Rock,Passing Aggression,60,2016-12-01,Radiation City,Oil Snow,Funk/Groove,,https://www.youtube.com/watch?v=4VdvVu9SnTo,Good,NOW THE WORLD IS PAVED IN GOLD,A.Lancaster,,,,,,,,
